team1,team2,matches,wins,losses,win_pct
Zimbabwe,Hong Kong,1,1,0,100.0
Zimbabwe,India,11,0,11,0.0
Zimbabwe,Ireland,11,3,8,27.3
Zimbabwe,Kenya,7,7,0,100.0
Zimbabwe,Netherlands,4,1,3,25.0
Zimbabwe,New Zealand,4,0,4,0.0
Zimbabwe,Oman,1,1,0,100.0
Zimbabwe,Pakistan,14,2,12,14.3
Zimbabwe,Scotland,1,0,1,0.0
Zimbabwe,South Africa,9,0,9,0.0
Zimbabwe,Sri Lanka,16,2,14,12.5
Zimbabwe,United Arab Emirates,1,1,0,100.0
Zimbabwe,United States of America,1,1,0,100.0
Zimbabwe,West Indies,17,4,13,23.5
